ntdll-x86-5.1.2600.5512.dll: PE32 executable (DLL) (32bits) (console) i386 (Mon Apr 14 08:11:24 2008)
  Export ntdll.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0001   0x016f   0x000572fb PropertyLengthAsVariant
    0x01b8   0x01b1   0x0005ff65 RtlCompressBuffer
    0x01b9   0x01b2   0x000601a9 RtlComputeCrc32
    0x01ba   0x01b3   0x00056c9f RtlComputeImportTableHash
    0x01bb   0x01b4   0x000508cb RtlComputePrivatizedDllName_U
    0x01bc   0x01b5   0x00024285 RtlConsoleMultiByteToUnicodeN
    0x01bd   0x01b6   0x0002bfe0 RtlConvertExclusiveToShared
    0x01be   0x01b7   0x00002636 RtlConvertLongToLargeInteger
    0x01bf   0x01b9   0x0002bf9e RtlConvertSharedToExclusive
    0x01c0   0x01ba   0x00014035 RtlConvertSidToUnicodeString
    0x01c1   0x01bb   0x00051290 RtlConvertToAutoInheritSecurityObject
    0x01c2   0x01bc   0x000515a2 RtlConvertUiListToApiList
    0x01c3   0x01bd   0x0000263e RtlConvertUlongToLargeInteger
    0x01c4   0x01bf   0x0001252c RtlCopyLuid
    0x01c5   0x01c0   0x0005b28e RtlCopyLuidAndAttributesArray
    0x01c6   0x01c1   0x00050c5c RtlCopyMemoryStreamTo
    0x01c7   0x01c2   0x00050c4f RtlCopyOutOfProcessMemoryStreamTo
    0x01c8   0x01c3   0x0005a67d RtlCopyRangeList
    0x01c9   0x01c4   0x0002b7b4 RtlCopySecurityDescriptor
    0x01ca   0x01c5   0x0001254a RtlCopySid
    0x01cb   0x01c6   0x0005b1d1 RtlCopySidAndAttributesArray
    0x01cc   0x01c7   0x0002c5ae RtlCopyString
    0x01cd   0x01c8   0x000142b9 RtlCopyUnicodeString
    0x01ce   0x01c9   0x00017bc9 RtlCreateAcl
    0x01cf   0x01ca   0x0001feb5 RtlCreateActivationContext
    0x01d0   0x01cb   0x0002e2b9 RtlCreateAndSetSD
    0x01d1   0x01cc   0x00033cea RtlCreateAtomTable
    0x01d2   0x01cd   0x000605e5 RtlCreateBootStatusDataFile
    0x01d3   0x01ce   0x0002be69 RtlCreateEnvironment
    0x01d4   0x01cf   0x00025062 RtlCreateHeap
    0x01d5   0x01d0   0x00022279 RtlCreateProcessParameters
    0x01d6   0x01d1   0x00051b40 RtlCreateQueryDebugBuffer
    0x01d7   0x01d2   0x0005e3b8 RtlCreateRegistryKey
    0x01d8   0x01d3   0x00017a31 RtlCreateSecurityDescriptor
    0x01d9   0x01d4   0x00060db1 RtlCreateSystemVolumeInformationFolder
    0x01da   0x01d5   0x00021634 RtlCreateTagHeap
    0x01db   0x01d6   0x0002c130 RtlCreateTimer
    0x01dc   0x01d7   0x0002ced3 RtlCreateTimerQueue
    0x01dd   0x01d8   0x00012812 RtlCreateUnicodeString
    0x01de   0x01d9   0x00012459 RtlCreateUnicodeStringFromAsciiz
    0x01df   0x01da   0x0002f97b RtlCreateUserProcess
    0x01e0   0x01db   0x0002e241 RtlCreateUserSecurityObject
    0x01e1   0x01dc   0x0002d36a RtlCreateUserThread
    0x01e2   0x01dd   0x00058b1e RtlCustomCPToUnicodeN
    0x01e3   0x01de   0x00030e4d RtlCutoverTimeToSystemTime
    0x01e4   0x01df   0x000221cb RtlDeNormalizeProcessParams
    0x01e5   0x01e0   0x00016cbf RtlDeactivateActivationContext
    0x01e6   0x01e1   0x000005dd RtlDeactivateActivationContextUnsafeFast
    0x01e7   0x01e2   0x0005d9c4 RtlDebugPrintTimes
    0x01e8   0x01e3   0x00012805 RtlDecodePointer
    0x01e9   0x01e4   0x00017e78 RtlDecodeSystemPointer
    0x01ea   0x01e5   0x0005ffe1 RtlDecompressBuffer
    0x01eb   0x01e6   0x0006004d RtlDecompressFragment
    0x01ec   0x01e7   0x000512a0 RtlDefaultNpAcl
    0x01ed   0x01e8   0x000240c1 RtlDelete
    0x01ee   0x01e9   0x00037521 RtlDeleteAce
    0x01ef   0x01ea   0x0003344e RtlDeleteAtomFromAtomTable
    0x01f0   0x01eb   0x0001075a RtlDeleteCriticalSection
    0x01f1   0x01ec   0x00024060 RtlDeleteElementGenericTable
    0x01f2   0x01ed   0x00061704 RtlDeleteElementGenericTableAvl
    0x01f3   0x01ee   0x0006111c RtlDeleteNoSplay
    0x01f4   0x01ef   0x0005b02e RtlDeleteOwnersRanges
    0x01f5   0x01f0   0x0005aef1 RtlDeleteRange
    0x01f6   0x01f1   0x000303cc RtlDeleteRegistryValue
    0x01f7   0x01f2   0x000230db RtlDeleteResource
    0x01f8   0x01f3   0x000295c3 RtlDeleteSecurityObject
    0x01f9   0x01f4   0x00032832 RtlDeleteTimer
    0x01fa   0x01f5   0x0005db81 RtlDeleteTimerQueue
    0x01fb   0x01f6   0x0005da79 RtlDeleteTimerQueueEx
    0x01fc   0x01f7   0x000309aa RtlDeregisterWait
    0x01fd   0x01f8   0x00030682 RtlDeregisterWaitEx
    0x01fe   0x01f9   0x00059fa2 RtlDestroyAtomTable
    0x01ff   0x01fa   0x00022d42 RtlDestroyEnvironment
    0x0200   0x01fb   0x00022f25 RtlDestroyHandleTable
    0x0201   0x01fc   0x000258ce RtlDestroyHeap
    0x0202   0x01fd   0x000221a4 RtlDestroyProcessParameters
    0x0203   0x01fe   0x00051c28 RtlDestroyQueryDebugBuffer
    0x0204   0x01ff   0x00012f6a RtlDetermineDosPathNameType_U
    0x0205   0x0200   0x00012ab0 RtlDllShutdownInProgress
    0x0206   0x0201   0x000302a3 RtlDnsHostNameToComputerName
    0x0207   0x0202   0x00018db8 RtlDoesFileExists_U
    0x0208   0x0203   0x00014d7b RtlDosApplyFileIsolationRedirection_Ustr
    0x0209   0x0204   0x000136d5 RtlDosPathNameToNtPathName_U
    0x020a   0x0205   0x000163d9 RtlDosSearchPath_U
    0x020b   0x0206   0x00017ff1 RtlDosSearchPath_Ustr
    0x020c   0x0207   0x0005c90e RtlDowncaseUnicodeChar
    0x020d   0x0208   0x00028efa RtlDowncaseUnicodeString
    0x020e   0x0209   0x00050cf4 RtlDumpResource
    0x020f   0x020a   0x0002031b RtlDuplicateUnicodeString
    0x0210   0x020b   0x0005a079 RtlEmptyAtomTable
    0x0211   0x020c   0x00050dad RtlEnableEarlyCriticalSectionEventCreation
    0x0212   0x020d   0x000127df RtlEncodePointer
    0x0213   0x020e   0x00017e78 RtlEncodeSystemPointer
    0x0214   0x020f   0x00002416 RtlEnlargedIntegerMultiply
    0x0215   0x0210   0x0000242e RtlEnlargedUnsignedDivide
    0x0216   0x0211   0x00002422 RtlEnlargedUnsignedMultiply
    0x0217   0x0212   0x00000400 RtlEnterCriticalSection
    0x0218   0x0213   0x0005ed51 RtlEnumProcessHeaps
    0x0219   0x0214   0x00061225 RtlEnumerateGenericTable
    0x021a   0x0215   0x0002f434 RtlEnumerateGenericTableAvl
    0x021b   0x0216   0x0006178e RtlEnumerateGenericTableLikeADirectory
    0x021c   0x0217   0x0001d6f4 RtlEnumerateGenericTableWithoutSplaying
    0x021d   0x0218   0x0002f459 RtlEnumerateGenericTableWithoutSplayingAvl
    0x021e   0x0219   0x0005cc0e RtlEqualComputerName
    0x021f   0x021a   0x0002a836 RtlEqualDomainName
    0x0220   0x021b   0x0005b265 RtlEqualLuid
    0x0221   0x021c   0x00032364 RtlEqualPrefixSid
    0x0222   0x021d   0x0001762c RtlEqualSid
    0x0223   0x021e   0x000129b6 RtlEqualString
    0x0224   0x021f   0x0001229b RtlEqualUnicodeString
    0x0225   0x0220   0x0002e1fe RtlEraseUnicodeString
    0x0226   0x0221   0x0006089b RtlExitUserThread
    0x0227   0x0222   0x00013aaa RtlExpandEnvironmentStrings_U
    0x0228   0x0223   0x0005ea91 RtlExtendHeap
    0x0229   0x0224   0x0000253a RtlExtendedIntegerMultiply
    0x022a   0x0225   0x0000244e RtlExtendedLargeIntegerDivide
    0x022b   0x0226   0x000024aa RtlExtendedMagicDivide
    0x022c   0x0227   0x00001fd3 RtlFillMemory
    0x022d   0x0228   0x00002043 RtlFillMemoryUlong
    0x022e   0x0229   0x0002021e RtlFinalReleaseOutOfProcessMemoryStream
    0x022f   0x022a   0x000280ee RtlFindActivationContextSectionGuid
    0x0230   0x022b   0x000148f1 RtlFindActivationContextSectionString
    0x0231   0x022c   0x00015141 RtlFindCharInUnicodeString
    0x0232   0x022d   0x0002573d RtlFindClearBits
    0x0233   0x022e   0x00025805 RtlFindClearBitsAndSet
    0x0234   0x022f   0x0005d05a RtlFindClearRuns
    0x0235   0x0230   0x0005d4fc RtlFindLastBackwardRunClear
    0x0236   0x0231   0x0005d677 RtlFindLeastSignificantBit
    0x0237   0x0232   0x0005d2a1 RtlFindLongestRunClear
    0x0238   0x0233   0x000343f9 RtlFindMessage
    0x0239   0x0234   0x0005d5cc RtlFindMostSignificantBit
    0x023a   0x0235   0x0005d402 RtlFindNextForwardRunClear
    0x023b   0x0236   0x0005a7d0 RtlFindRange
    0x023c   0x0237   0x0005cda9 RtlFindSetBits
    0x023d   0x0238   0x0005d720 RtlFindSetBitsAndClear
    0x023e   0x0239   0x00001ef8 RtlFirstEntrySList
    0x023f   0x023a   0x00017aba RtlFirstFreeAce
    0x0240   0x023b   0x000618ba RtlFlushSecureMemoryCache
    0x0241   0x023c   0x000143f9 RtlFormatCurrentUserKeyPath
    0x0242   0x023d   0x000287c4 RtlFormatMessage
    0x0243   0x023e   0x0000f846 RtlFreeAnsiString
    0x0244   0x023f   0x0001271f RtlFreeHandle
    0x0245   0x0240   0x0000f30d RtlFreeHeap
    0x0246   0x0241   0x0002a893 RtlFreeOemString
    0x0247   0x0242   0x0005a414 RtlFreeRangeList
    0x0248   0x0243   0x00017c3e RtlFreeSid
    0x0249   0x0244   0x00012d0d RtlFreeThreadActivationContextStack
    0x024a   0x0245   0x0000f846 RtlFreeUnicodeString
    0x024b   0x0246   0x000608c5 RtlFreeUserThreadStack
    0x024c   0x0247   0x00026080 RtlGUIDFromString
    0x024d   0x0248   0x00061d28 RtlGenerate8dot3Name
    0x024e   0x0249   0x000342b9 RtlGetAce
    0x024f   0x024a   0x0001b9ab RtlGetActiveActivationContext
    0x0250   0x024b   0x0005df22 RtlGetCallersAddress
    0x0251   0x024c   0x0005fef9 RtlGetCompressionWorkSpaceSize
    0x0252   0x024d   0x00029595 RtlGetControlSecurityDescriptor
    0x0253   0x024e   0x000138e6 RtlGetCurrentDirectory_U
    0x0254   0x024f   0x0005e3a9 RtlGetCurrentPeb
    0x0255   0x0250   0x00012b7f RtlGetDaclSecurityDescriptor
    0x0256   0x0251   0x0006119c RtlGetElementGenericTable
    0x0257   0x0252   0x0006158f RtlGetElementGenericTableAvl
    0x0258   0x0253   0x0005a459 RtlGetFirstRange
    0x0259   0x0254   0x0001f881 RtlGetFrame
    0x025a   0x0255   0x00013789 RtlGetFullPathName_U
    0x025b   0x0256   0x0002a7f7 RtlGetGroupSecurityDescriptor
    0x025c   0x0257   0x00062115 RtlGetLastNtStatus
    0x025d   0x0258   0x0000f201 RtlGetLastWin32Error
    0x025e   0x0259   0x0001fb59 RtlGetLengthWithoutLastFullDosOrNtPathElement
    0x025f   0x025a   0x0002e6dd RtlGetLengthWithoutTrailingPathSeperators
    0x0260   0x025b   0x00013db9 RtlGetLongestNtPathLength
    0x0261   0x025c   0x0000cd10 RtlGetNativeSystemInformation
    0x0262   0x025d   0x0005a511 RtlGetNextRange
    0x0263   0x025e   0x0000f2fb RtlGetNtGlobalFlags
    0x0264   0x025f   0x00018b38 RtlGetNtProductType
    0x0265   0x0260   0x0002070f RtlGetNtVersionNumbers
    0x0266   0x0261   0x0002a7b5 RtlGetOwnerSecurityDescriptor
    0x0267   0x0262   0x0005ec99 RtlGetProcessHeaps
    0x0268   0x0263   0x0005b2bd RtlGetSaclSecurityDescriptor
    0x0269   0x0264   0x0005b518 RtlGetSecurityDescriptorRMControl
    0x026a   0x0265   0x0002f811 RtlGetSetBootStatusData
    0x026b   0x0266   0x0004fa9b RtlGetUnloadEventTrace
    0x026c   0x0267   0x00012c42 RtlGetUserInfoHeap
    0x026d   0x0268   0x00018a4b RtlGetVersion
    0x026e   0x0269   0x00014a3d RtlHashUnicodeString
    0x026f   0x026a   0x0002964c RtlIdentifierAuthoritySid
    0x0270   0x026b   0x0000f726 RtlImageDirectoryEntryToData
    0x0271   0x026c   0x0000f719 RtlImageNtHeader
    0x0272   0x026d   0x00011cb7 RtlImageRvaToSection
    0x0273   0x026e   0x0002ff3a RtlImageRvaToVa
    0x0274   0x026f   0x00029187 RtlImpersonateSelf
    0x0275   0x0270   0x0000065d RtlInitAnsiString
    0x0276   0x0271   0x00021a56 RtlInitCodePageTable
    0x0277   0x0272   0x00020914 RtlInitMemoryStream
    0x0278   0x0273   0x00021a25 RtlInitNlsTables
    0x0279   0x0274   0x0001fdd2 RtlInitOutOfProcessMemoryStream
    0x027a   0x0275   0x00000625 RtlInitString
    0x027b   0x0276   0x00000695 RtlInitUnicodeString
    0x027c   0x0277   0x0000f275 RtlInitUnicodeStringEx
    0x027d   0x0278   0x0002161c RtlInitializeAtomPackage
    0x027e   0x0279   0x00017e5c RtlInitializeBitMap
    0x027f   0x027a   0x0002d4a9 RtlInitializeContext
    0x0280   0x027b   0x000109fd RtlInitializeCriticalSection
    0x0281   0x027c   0x000108fa RtlInitializeCriticalSectionAndSpinCount
    0x0282   0x027d   0x00020891 RtlInitializeGenericTable
    0x0283   0x027e   0x0002f561 RtlInitializeGenericTableAvl
    0x0284   0x027f   0x00017f7a RtlInitializeHandleTable
    0x0285   0x0280   0x0002f21a RtlInitializeRXact
    0x0286   0x0281   0x0005a1f9 RtlInitializeRangeList
    0x0287   0x0282   0x0001dadf RtlInitializeResource
    0x0288   0x0283   0x00034393 RtlInitializeSListHead
    0x0289   0x0284   0x00017675 RtlInitializeSid
    0x028a   0x0285   0x00062397 RtlInitializeStackTraceDataBase
    0x028b   0x0286   0x00023e1f RtlInsertElementGenericTable
    0x028c   0x0287   0x000616d1 RtlInsertElementGenericTableAvl
    0x028d   0x0288   0x0005e339 RtlInt64ToUnicodeString
    0x028e   0x0289   0x0001a0e8 RtlIntegerToChar
    0x028f   0x028a   0x0001a20e RtlIntegerToUnicodeString
    0x0290   0x028b   0x000622b5 RtlInterlockedFlushSList
    0x0291   0x028c   0x00033083 RtlInterlockedPopEntrySList
    0x0292   0x028d   0x00033041 RtlInterlockedPushEntrySList
    0x0293   0x028f   0x0005b0df RtlInvertRangeList
    0x0294   0x0290   0x0006287b RtlIpv4AddressToStringA
    0x0295   0x0291   0x000628c9 RtlIpv4AddressToStringExA
    0x0296   0x0292   0x0002cd52 RtlIpv4AddressToStringExW
    0x0297   0x0293   0x0002cdca RtlIpv4AddressToStringW
    0x0298   0x0294   0x0002bd51 RtlIpv4StringToAddressA
    0x0299   0x0295   0x00063227 RtlIpv4StringToAddressExA
    0x029a   0x0296   0x00035f6f RtlIpv4StringToAddressExW
    0x029b   0x0297   0x00034e64 RtlIpv4StringToAddressW
    0x029c   0x0298   0x00062569 RtlIpv6AddressToStringA
    0x029d   0x0299   0x00062795 RtlIpv6AddressToStringExA
    0x029e   0x029a   0x00062bd7 RtlIpv6AddressToStringExW
    0x029f   0x029b   0x0006296f RtlIpv6AddressToStringW
    0x02a0   0x029c   0x00062ccb RtlIpv6StringToAddressA
    0x02a1   0x029d   0x00062fea RtlIpv6StringToAddressExA
    0x02a2   0x029e   0x000636be RtlIpv6StringToAddressExW
    0x02a3   0x029f   0x000633c0 RtlIpv6StringToAddressW
    0x02a4   0x02a0   0x000556c6 RtlIsActivationContextActive
    0x02a5   0x02a1   0x00012488 RtlIsDosDeviceName_U
    0x02a6   0x02a2   0x0001d76c RtlIsGenericTableEmpty
    0x02a7   0x02a3   0x00061576 RtlIsGenericTableEmptyAvl
    0x02a8   0x02a4   0x00061ba7 RtlIsNameLegalDOS8Dot3
    0x02a9   0x02a5   0x0005ab53 RtlIsRangeAvailable
    0x02aa   0x02a6   0x0002844b RtlIsTextUnicode
    0x02ab   0x02a7   0x00050091 RtlIsThreadWithinLoaderCallout
    0x02ac   0x02a8   0x000126bd RtlIsValidHandle
    0x02ad   0x02a9   0x000127ae RtlIsValidIndexHandle
    0x02ae   0x02aa   0x00002402 RtlLargeIntegerAdd
    0x02af   0x02ab   0x000025e2 RtlLargeIntegerArithmeticShift
    0x02b0   0x02ac   0x00063921 RtlLargeIntegerDivide
    0x02b1   0x02ad   0x0000260e RtlLargeIntegerNegate
    0x02b2   0x02ae   0x00002592 RtlLargeIntegerShiftLeft
    0x02b3   0x02af   0x000025ba RtlLargeIntegerShiftRight
    0x02b4   0x02b0   0x00002622 RtlLargeIntegerSubtract
    0x02b5   0x02b1   0x0005df6c RtlLargeIntegerToChar
    0x02b6   0x02b2   0x000004e0 RtlLeaveCriticalSection
    0x02b7   0x02b3   0x00012a98 RtlLengthRequiredSid
    0x02b8   0x02b4   0x0002a69b RtlLengthSecurityDescriptor
    0x02b9   0x02b5   0x0001257e RtlLengthSid
    0x02ba   0x02b6   0x00061080 RtlLocalTimeToSystemTime
    0x02bb   0x02b7   0x0002f6b3 RtlLockBootStatusData
    0x02bc   0x02b8   0x000125eb RtlLockHeap
    0x02bd   0x02b9   0x00050c4f RtlLockMemoryStreamRegion
    0x02be   0x02ba   0x000109b4 RtlLogStackBackTrace
    0x02bf   0x02bb   0x0002788a RtlLookupAtomInAtomTable
    0x02c0   0x02bc   0x0002040f RtlLookupElementGenericTable
    0x02c1   0x02bd   0x0006185d RtlLookupElementGenericTableAvl
    0x02c2   0x02be   0x00028d2f RtlMakeSelfRelativeSD
    0x02c3   0x02bf   0x000293dd RtlMapGenericMask
    0x02c4   0x02c0   0x0005b5a5 RtlMapSecurityErrorToNtStatus
    0x02c5   0x02c1   0x0005ad86 RtlMergeRangeLists
    0x02c6   0x02c2   0x00002094 RtlMoveMemory
    0x02c7   0x02c3   0x00015cf5 RtlMultiAppendUnicodeStringBuffer
    0x02c8   0x02c4   0x0000e09a RtlMultiByteToUnicodeN
    0x02c9   0x02c5   0x0002877a RtlMultiByteToUnicodeSize
    0x02ca   0x02c6   0x000510bc RtlNewInstanceSecurityObject
    0x02cb   0x02c7   0x00051132 RtlNewSecurityGrantedAccess
    0x02cc   0x02c8   0x0002dd27 RtlNewSecurityObject
    0x02cd   0x02c9   0x00031af0 RtlNewSecurityObjectEx
    0x02ce   0x02ca   0x00050e81 RtlNewSecurityObjectWithMultipleInheritance
    0x02cf   0x02cb   0x00021716 RtlNormalizeProcessParams
    0x02d0   0x02cc   0x000237fc RtlNtPathNameToDosPathName
    0x02d1   0x02cd   0x0000ea0d RtlNtStatusToDosError
    0x02d2   0x02ce   0x0000ea59 RtlNtStatusToDosErrorNoTeb
    0x02d3   0x02cf   0x00022f59 RtlNumberGenericTableElements
    0x02d4   0x02d0   0x00061664 RtlNumberGenericTableElementsAvl
    0x02d5   0x02d1   0x0005d2d8 RtlNumberOfClearBits
    0x02d6   0x02d2   0x0005d328 RtlNumberOfSetBits
    0x02d7   0x02d3   0x0005c990 RtlOemStringToUnicodeSize
    0x02d8   0x02d4   0x00026865 RtlOemStringToUnicodeString
    0x02d9   0x02d5   0x0002673c RtlOemToUnicodeN
    0x02da   0x02d6   0x00017eb9 RtlOpenCurrentUser
    0x02db   0x02d7   0x00033763 RtlPcToFileHeader
    0x02dc   0x02d8   0x0005a141 RtlPinAtomInAtomTable
    0x02dd   0x02d9   0x00018ec0 RtlPopFrame
    0x02de   0x02da   0x0002d025 RtlPrefixString
    0x02df   0x02db   0x000137e8 RtlPrefixUnicodeString
    0x02e0   0x02dc   0x0005e67a RtlProtectHeap
    0x02e1   0x02dd   0x00018ee0 RtlPushFrame
    0x02e2   0x02de   0x00033d8d RtlQueryAtomInAtomTable
    0x02e3   0x02df   0x000330f0 RtlQueryDepthSList
    0x02e4   0x02e0   0x00013979 RtlQueryEnvironmentVariable_U
    0x02e5   0x02e1   0x0005f663 RtlQueryHeapInformation
    0x02e6   0x02e2   0x0002c2a5 RtlQueryInformationAcl
    0x02e7   0x02e3   0x0000f0b2 RtlQueryInformationActivationContext
    0x02e8   0x02e4   0x00012991 RtlQueryInformationActiveActivationContext
    0x02e9   0x02e5   0x0001f99d RtlQueryInterfaceMemoryStream
    0x02ea   0x02e6   0x00051d09 RtlQueryProcessBackTraceInformation
    0x02eb   0x02e7   0x00052553 RtlQueryProcessDebugInformation
    0x02ec   0x02e8   0x00051eb1 RtlQueryProcessHeapInformation
    0x02ed   0x02e9   0x000523dd RtlQueryProcessLockInformation
    0x02ee   0x02ea   0x0002e7ce RtlQueryRegistryValues
    0x02ef   0x02eb   0x00050eba RtlQuerySecurityObject
    0x02f0   0x02ec   0x0005e92d RtlQueryTagHeap
    0x02f1   0x02ed   0x0005e439 RtlQueryTimeZoneInformation
    0x02f2   0x02ee   0x00055665 RtlQueueApcWow64Thread
    0x02f3   0x02ef   0x00027038 RtlQueueWorkItem
    0x02f4   0x02f0   0x0000d908 RtlRaiseException
    0x02f5   0x02f1   0x00063b68 RtlRaiseStatus
    0x02f6   0x02f2   0x00063b97 RtlRandom
    0x02f7   0x02f3   0x00037108 RtlRandomEx
    0x02f8   0x02f4   0x00018f80 RtlReAllocateHeap
    0x02f9   0x02f5   0x000208cf RtlReadMemoryStream
    0x02fa   0x02f6   0x0001f91f RtlReadOutOfProcessMemoryStream
    0x02fb   0x02f7   0x000610df RtlRealPredecessor
    0x02fc   0x02f8   0x0001d72b RtlRealSuccessor
    0x02fd   0x02f9   0x0006187e RtlRegisterSecureMemoryCacheCallback
    0x02fe   0x02fa   0x00032603 RtlRegisterWait
    0x02ff   0x02fb   0x0000f927 RtlReleaseActivationContext
    0x0300   0x02fc   0x0001f72f RtlReleaseMemoryStream
    0x0301   0x02fd   0x0000f831 RtlReleasePebLock
    0x0302   0x02fe   0x00029364 RtlReleaseResource
    0x0303   0x02ff   0x00062148 RtlRemoteCall
    0x0304   0x0300   0x00036066 RtlRemoveVectoredExceptionHandler
    0x0305   0x0301   0x000218db RtlResetRtlTranslations
    0x0306   0x0302   0x0000f210 RtlRestoreLastWin32Error
    0x0307   0x0303   0x00050cdd RtlRevertMemoryStream
    0x0308   0x0304   0x0002cbb3 RtlRunDecodeUnicodeString
    0x0309   0x0305   0x0002cb65 RtlRunEncodeUnicodeString
    0x030a   0x0306   0x00061049 RtlSecondsSince1970ToTime
    0x030b   0x0307   0x00061012 RtlSecondsSince1980ToTime
    0x030c   0x0308   0x00050be0 RtlSeekMemoryStream
    0x030d   0x030a   0x00059b08 RtlSelfRelativeToAbsoluteSD2
    0x030e   0x0309   0x0002c3a7 RtlSelfRelativeToAbsoluteSD
    0x030f   0x030b   0x0002b5cc RtlSetAllBits
    0x0310   0x030c   0x0005b690 RtlSetAttributesSecurityDescriptor
    0x0311   0x030d   0x00025838 RtlSetBits
    0x0312   0x030e   0x0002eeb0 RtlSetControlSecurityDescriptor
    0x0313   0x030f   0x00029447 RtlSetCriticalSectionSpinCount
    0x0314   0x0310   0x0001db8e RtlSetCurrentDirectory_U
    0x0315   0x0311   0x000607bd RtlSetCurrentEnvironment
    0x0316   0x0312   0x00017a5f RtlSetDaclSecurityDescriptor
    0x0317   0x0313   0x00026b98 RtlSetEnvironmentVariable
    0x0318   0x0314   0x00017e12 RtlSetGroupSecurityDescriptor
    0x0319   0x0315   0x000370b5 RtlSetHeapInformation
    0x031a   0x0316   0x00059b87 RtlSetInformationAcl
    0x031b   0x0317   0x0002d169 RtlSetIoCompletionCallback
    0x031c   0x0318   0x0000f210 RtlSetLastWin32Error
    0x031d   0x0319   0x00062127 RtlSetLastWin32ErrorAndNtStatusFromNtStatus
    0x031e   0x031a   0x00050c42 RtlSetMemoryStreamSize
    0x031f   0x031b   0x00017dc8 RtlSetOwnerSecurityDescriptor
    0x0320   0x031c   0x0002df6c RtlSetProcessIsCritical
    0x0321   0x031d   0x0002c316 RtlSetSaclSecurityDescriptor
    0x0322   0x031e   0x0005b57a RtlSetSecurityDescriptorRMControl
    0x0323   0x031f   0x0002b86c RtlSetSecurityObject
    0x0324   0x0320   0x00050e91 RtlSetSecurityObjectEx
    0x0325   0x0321   0x0002dfc0 RtlSetThreadIsCritical
    0x0326   0x0322   0x00021679 RtlSetThreadPoolStartFunc
    0x0327   0x0323   0x0005e561 RtlSetTimeZoneInformation
    0x0328   0x0324   0x0005db99 RtlSetTimer
    0x0329   0x0325   0x00057391 RtlSetUnicodeCallouts
    0x032a   0x0326   0x0005e7dd RtlSetUserFlagsHeap
    0x032b   0x0327   0x000187c9 RtlSetUserValueHeap
    0x032c   0x0328   0x0000f8bd RtlSizeHeap
    0x032d   0x0329   0x000202b8 RtlSplay
    0x032e   0x032a   0x0002a530 RtlStartRXact
    0x032f   0x032b   0x0001fe35 RtlStatMemoryStream
    0x0330   0x032c   0x00028296 RtlStringFromGUID
    0x0331   0x032d   0x00012ac0 RtlSubAuthorityCountSid
    0x0332   0x032e   0x00017658 RtlSubAuthoritySid
    0x0333   0x032f   0x0002403d RtlSubtreePredecessor
    0x0334   0x0330   0x000610bc RtlSubtreeSuccessor
    0x0335   0x0331   0x00034e28 RtlSystemTimeToLocalTime
    0x0336   0x0332   0x00019f19 RtlTimeFieldsToTime
    0x0337   0x0333   0x00060fab RtlTimeToElapsedTimeFields
    0x0338   0x0334   0x0002a5c3 RtlTimeToSecondsSince1970
    0x0339   0x0335   0x00029544 RtlTimeToSecondsSince1980
    0x033a   0x0336   0x000112dd RtlTimeToTimeFields
    0x033b   0x0337   0x00064217 RtlTraceDatabaseAdd
    0x033c   0x0338   0x00063e4a RtlTraceDatabaseCreate
    0x033d   0x0339   0x00063f3c RtlTraceDatabaseDestroy
    0x033e   0x033a   0x00063dc2 RtlTraceDatabaseEnumerate
    0x033f   0x033b   0x00064023 RtlTraceDatabaseFind
    0x0340   0x033c   0x000641f7 RtlTraceDatabaseLock
    0x0341   0x033d   0x00064207 RtlTraceDatabaseUnlock
    0x0342   0x033e   0x00063fd9 RtlTraceDatabaseValidate
    0x0343   0x033f   0x00000518 RtlTryEnterCriticalSection
    0x0344   0x0343   0x00064429 RtlUnhandledExceptionFilter2
    0x0345   0x0342   0x00064daf RtlUnhandledExceptionFilter
    0x0346   0x0344   0x0005c96b RtlUnicodeStringToAnsiSize
    0x0347   0x0345   0x00011f98 RtlUnicodeStringToAnsiString
    0x0348   0x0346   0x0005ca66 RtlUnicodeStringToCountedOemString
    0x0349   0x0347   0x0001a271 RtlUnicodeStringToInteger
    0x034a   0x0348   0x0005c96b RtlUnicodeStringToOemSize
    0x034b   0x0349   0x000265ea RtlUnicodeStringToOemString
    0x034c   0x034a   0x00058d02 RtlUnicodeToCustomCPN
    0x034d   0x034b   0x00011e6d RtlUnicodeToMultiByteN
    0x034e   0x034c   0x0001259a RtlUnicodeToMultiByteSize
    0x034f   0x034d   0x000264c8 RtlUnicodeToOemN
    0x0350   0x034e   0x0002e001 RtlUniform
    0x0351   0x034f   0x0002f7cb RtlUnlockBootStatusData
    0x0352   0x0350   0x00012653 RtlUnlockHeap
    0x0353   0x0351   0x00050c4f RtlUnlockMemoryStreamRegion
    0x0354   0x0352   0x00029fa5 RtlUnwind
    0x0355   0x0353   0x0000f7c0 RtlUpcaseUnicodeChar
    0x0356   0x0354   0x00025f63 RtlUpcaseUnicodeString
    0x0357   0x0355   0x0005c9b7 RtlUpcaseUnicodeStringToAnsiString
    0x0358   0x0356   0x0005cb3a RtlUpcaseUnicodeStringToCountedOemString
    0x0359   0x0357   0x0002b499 RtlUpcaseUnicodeStringToOemString
    0x035a   0x0358   0x00058eb1 RtlUpcaseUnicodeToCustomCPN
